well id,Lease Name,Well Number,Operator compnay,County,Landing Zone,Surf Lat,Surf Long,BH Lat,BH Long,Date Spud,Lateral Len (ft),Date Completed,Total Fluid (bbl),Total Proppant (lb),"Well Spacing, ft",Well Name,Fluid (bbl/ft),Prop (lb/ft),Avg PPG,"Oil EUR, Mbbl","Gas EUR, MMcf"
4.24614E+13,POWELL 26A,2H,OVINTIV USA INC,UPTON,WOLFCAMP,31.55880833,-102.0321111,31.57871436,-102.0387366,1/26/2016,7310,6/10/2016,479516,1090000,,POWELL 26A 2H,2,149,2.27,,
4.24614E+13,LOIS A,04WB,SUMMIT PETROLEUM LLC,UPTON,WCMP B,31.55496739,-102.2564247,31.57815487,-102.264112,12/26/2015,7949,8/18/2016,14679840,12918000,,LOIS A 04WB,44,1625,0.88,,
4.24614E+13,ATKINS 10A,4415H,PIONEER NATURAL RESOURCES USA INC,UPTON,WOLFCAMP,31.63498333,-101.9673389,31.61958333,-101.9620028,11/16/2015,5125,1/21/2016,9386214,8882000,,ATKINS 10A 4415H,44,1733,0.95,291,809
4.24614E+13,KAREN UNIT,5121AH,COG OPERATING LLC,UPTON,WCMP A,31.43573328,-102.0300861,31.408865,-102.021402,3/14/2016,9767,9/12/2016,23775184,22042000,,KAREN UNIT 5121AH,58,2257,0.93,,
4.24614E+13,K-BIRD 12 & 13,4407H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.4325011,-101.7866965,31.43893652,-101.7886632,2/28/2016,,3/11/2016,,,,K-BIRD 12 & 13 4407H,,,,,
4.24614E+13,HIRSCH `E`,4201H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP A,31.5825,-102.0016194,31.56648333,-101.9956139,3/26/2016,4960,5/15/2016,9949772,8458000,,HIRSCH `E` 4201H,48,1705,0.85,453,852
4.24614E+13,HUGH 27-34,4407H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.60614922,-101.8601681,31.59103977,-101.8554756,6/30/2016,5126,8/14/2016,12548293,10362000,,HUGH 27-34 4407H,58,2021,0.83,460,939
4.24614E+13,BROOK A-5C,3H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.45058221,-101.8397756,31.42338355,-101.8310401,4/19/2017,9628,10/21/2017,17437982,19424000,,BROOK A-5C 3H,43,2017,1.11,,
4.24614E+13,WILMA (SA) D,3201LS,SM ENERGY CO,UPTON,SPBYL SH,31.61985132,-102.2090183,31.6408249,-102.2179605,5/3/2016,7780,9/23/2016,18889554,14570000,,WILMA (SA) D 3201LS,58,1873,0.77,,
4.24614E+13,CVX (SA) C,3301LS,SM ENERGY CO,UPTON,SPBYL SH,31.61987414,-102.2089256,31.64128175,-102.2159674,5/10/2016,7818,9/25/2016,18589060,14570000,,CVX (SA) C 3301LS,57,1864,0.78,,
4.24614E+13,CLARISSA H,02WB,SUMMIT PETROLEUM LLC,UPTON,WCMP B,31.42680893,-102.1358259,31.45393696,-102.1447099,7/21/2016,9963,11/6/2016,16896448,18184000,,CLARISSA H 02WB,40,1825,1.08,,
4.24614E+13,DORCUS JANEY (SA) G,1961WA,SM ENERGY CO,UPTON,WCMP A,31.64686429,-102.2502695,31.66934533,-102.2570659,7/25/2016,7782,12/30/2016,19222920,14524000,,DORCUS JANEY (SA) G 1961WA,59,1866,0.76,256,669
4.24614E+13,DORCUS JANEY (SA) N,1971WB,SM ENERGY CO,UPTON,WCMP B,31.64688546,-102.2503627,31.6690296,-102.2582963,7/17/2016,7786,1/19/2017,19816292,14504000,,DORCUS JANEY (SA) N 1971WB,61,1863,0.73,91,2184
4.24614E+13,POWELL 33X,1H,OVINTIV USA INC,UPTON,WCMP B,31.53402222,-102.0585417,31.55680588,-102.0659301,7/24/2016,7773,10/15/2016,4080628,10022000,,POWELL 33X 1H,12,1289,2.46,,
4.24614E+13,HASEL28 P1 UNIT,2803AH,COG OPERATING LLC,UPTON,WCMP A,31.34388889,-101.9819056,31.37075278,-101.9911111,9/26/2016,9741,7/15/2017,23672280,21370000,,HASEL28 P1 UNIT 2803AH,58,2194,0.9,,
