Well_UID,WellPadID
42-173374930000,42-173-37495
42-317401750000,42-317-40089
42-317404030000,42-317-40403
42-317405380000,42-317-40539
42-317405470000,42-317-40542
42-329408770000,42-329-40877
42-461404680000,42-461-40468
42-235352480000,42-235-35249
42-003455330000,42-003-45533
42-227386680000,42-227-38668
42-383383970000,42-383-38393
42-105415830000,42-105-41583
42-317393460000,42-317-38876
42-317392050000,42-317-39205
42-383385610000,42-383-38560
42-383394240000,42-383-39422
42-235350780000,42-235-35078
42-383395510000,42-383-39551
42-317398520000,42-317-39721
42-173341860000,42-173-34186
42-317392350000,42-317-39238
42-461401350000,42-461-40135
42-173372010000,42-173-37201
42-235350810000,42-235-35081
42-329394310000,42-329-39431
42-329403770000,42-329-40373
42-461399770000,42-461-39971
42-135418200000,42-135-41820
42-135428610000,42-135-42861
42-461391020000,42-461-39102
42-383395280000,42-383-38932
42-173369630000,42-173-36962
42-461397630000,42-461-39763
42-317345000000,42-317-34500
42-173372280000,42-173-37221
42-383389260000,42-383-38927
42-173367280000,42-173-36728
42-329403150000,42-329-40312
42-383389270000,42-383-38927
42-173369520000,42-173-36951
42-317405460000,42-317-40546
42-383396100000,42-383-39610
42-461404290000,42-461-40425
42-461403330000,42-461-40334
42-461403410000,42-461-40341
42-105419810000,42-105-41881
42-461396580000,42-461-39669
42-033323930000,42-033-32393
42-135429710000,
42-317406690000,42-317-40669
42-135434190000,42-135-42712
42-135434590000,42-135-43459
42-235351840000,42-235-35182
42-173372390000,42-173-37238
42-383385910000,42-383-38591
42-329394440000,42-329-38504
42-461402360000,42-461-40236
42-383382390000,42-383-38238
42-329389570000,42-329-38504
42-329394220000,42-329-39418
42-329396350000,42-329-39635
42-235348830000,42-235-34883
42-383390660000,42-383-38700
42-329399350000,42-329-38962
42-105416040000,42-105-41604
42-105418950000,42-105-41895
42-105416060000,42-105-41592
42-105418910000,42-105-41518
42-235359270000,42-235-35927
42-317402890000,42-317-40288
42-173369470000,42-173-36947
42-003459690000,42-003-45969
42-173363840000,42-173-36237
42-461398470000,42-461-39814
42-461405300000,42-461-40530
42-329408050000,42-329-40805
42-383396740000,42-383-39674
42-105417140000,42-105-41714
42-329415150000,42-329-41373
42-329414960000,42-329-41508
42-227390170000,42-227-39017
42-317407430000,42-317-40049
42-317407530000,42-317-40751
42-317407650000,42-317-40765
42-329416090000,42-329-41608
42-317407860000,42-317-40680
42-461405830000,42-461-40580
42-317408050000,42-317-40658
42-461405820000,42-461-40582
42-317408150000,42-317-40815
42-329416740000,42-329-41677
42-105423980000,42-105-42397
42-227391840000,42-227-38831
42-173376360000,42-173-37633
42-317409220000,42-317-40722
42-317409370000,42-317-40936
42-461406450000,42-461-40616
42-317409750000,42-317-40974
42-317409760000,42-317-40974
42-165386170000,42-165-38617
42-227392470000,42-227-39248
42-317410360000,42-317-41038
42-235362170000,42-235-36216
42-329419870000,42-329-41992
42-329420300000,42-329-41877
42-329420580000,42-329-42059
42-173377680000,42-173-37768
42-329420830000,42-329-39871
42-461407030000,42-461-40704
42-317411440000,42-317-41144
42-227394300000,42-227-39430
42-003477120000,42-003-47704
42-383401250000,42-383-40085
42-317412420000,42-317-41242
42-227394900000,42-227-39445
42-173378190000,42-173-37819
42-317413150000,42-317-41315
42-173378410000,42-173-37842
42-173378470000,42-173-37847
42-317413100000,42-317-41309
42-317413770000,42-317-41377
42-317413470000,42-317-40342
42-135435880000,42-135-43459
42-235362660000,42-235-36266
42-461408430000,42-461-40647
42-329424550000,42-329-41703
42-317414230000,42-317-41424
42-329425040000,42-329-42499
42-383402840000,42-383-40284
42-033324690000,42-033-32469
42-173379040000,42-173-37905
42-329425440000,42-329-42541
42-317414850000,42-317-41187
42-317414870000,42-317-41478
42-317414970000,42-317-41498
42-003478140000,42-003-47818
42-329426020000,42-329-42602
42-317415140000,42-317-41511
42-329424910000,42-329-42482
42-329425150000,42-329-42514
42-317415630000,42-317-41558
42-329425860000,42-329-42586
42-329426640000,42-329-42661
42-461409260000,42-461-40925
42-227396430000,42-227-39646
42-461409330000,42-461-40931
42-235363190000,42-235-36323
